Country Code,Country,Capital
AFG,Afghanistan,Kabul
ALA,Aland,Mariehamn
ALB,Albania,Tirana
DZA,Algeria,Algiers
ASM,American Samoa,Pago Pago
AND,Andorra,Andorra la Vella
AGO,Angola,Luanda
AIA,Anguilla,The Valley
ATA,Antarctica,
ATG,Antigua and Barbuda,St. John's
ARG,Argentina,Buenos Aires
ARM,Armenia,Yerevan
ABW,Aruba,Oranjestad
AUS,Australia,Canberra
AUT,Austria,Vienna
AZE,Azerbaijan,Baku
BHS,Bahamas,Nassau
BHR,Bahrain,Manama
BGD,Bangladesh,Dhaka
BRB,Barbados,Bridgetown
BLR,Belarus,Minsk
BEL,Belgium,Brussels
BLZ,Belize,Belmopan
BEN,Benin,Porto-Novo
BMU,Bermuda,Hamilton
BTN,Bhutan,Thimphu
BOL,Bolivia,Sucre
BES,"Bonaire, Sint Eustatius, and Saba",
BIH,Bosnia and Herzegovina,Sarajevo
BWA,Botswana,Gaborone
BVT,Bouvet Island,
BRA,Brazil,Brasilia
IOT,British Indian Ocean Territory,Diego Garcia
VGB,British Virgin Islands,Road Town
BRN,Brunei,Bandar Seri Begawan
BGR,Bulgaria,Sofia
BFA,Burkina Faso,Ouagadougou
BDI,Burundi,Gitega
CPV,Cabo Verde,Praia
KHM,Cambodia,Phnom Penh
CMR,Cameroon,Yaounde
CAN,Canada,Ottawa
CYM,Cayman Islands,George Town
CAF,Central African Republic,Bangui
TCD,Chad,N'Djamena
CHL,Chile,Santiago
CHN,China,Beijing
CXR,Christmas Island,Flying Fish Cove
CCK,Cocos [Keeling] Islands,West Island
COL,Colombia,Bogota
COM,Comoros,Moroni
COG,Congo Republic,Brazzaville
COK,Cook Islands,Avarua
CRI,Costa Rica,San Jose
HRV,Croatia,Zagreb
CUB,Cuba,Havana
CUW,Curacao,Willemstad
CYP,Cyprus,Nicosia
CZE,Czechia,Prague
DNK,Denmark,Copenhagen
DJI,Djibouti,Djibouti
DMA,Dominica,Roseau
DOM,Dominican Republic,Santo Domingo
COD,DR Congo,Kinshasa
ECU,Ecuador,Quito
EGY,Egypt,Cairo
SLV,El Salvador,San Salvador
GNQ,Equatorial Guinea,Malabo
ERI,Eritrea,Asmara
EST,Estonia,Tallinn
SWZ,Eswatini,Mbabane
ETH,Ethiopia,Addis Ababa
FLK,Falkland Islands,Stanley
FRO,Faroe Islands,Torshavn
FJI,Fiji,Suva
FIN,Finland,Helsinki
FRA,France,Paris
GUF,French Guiana,Cayenne
PYF,French Polynesia,Papeete
ATF,French Southern Territories,Port-aux-Francais
GAB,Gabon,Libreville
GMB,Gambia,Banjul
GEO,Georgia,Tbilisi
DEU,Germany,Berlin
GHA,Ghana,Accra
GIB,Gibraltar,Gibraltar
GRC,Greece,Athens
GRL,Greenland,Nuuk
GRD,Grenada,St. George's
GLP,Guadeloupe,Basse-Terre
GUM,Guam,Hagatna
GTM,Guatemala,Guatemala City
GGY,Guernsey,St Peter Port
GIN,Guinea,Conakry
GNB,Guinea-Bissau,Bissau
GUY,Guyana,Georgetown
HTI,Haiti,Port-au-Prince
HMD,Heard Island and McDonald Islands,
HND,Honduras,Tegucigalpa
HKG,Hong Kong,Hong Kong
HUN,Hungary,Budapest
ISL,Iceland,Reykjavik
IND,India,New Delhi
IDN,Indonesia,Jakarta
IRN,Iran,Tehran
IRQ,Iraq,Baghdad
IRL,Ireland,Dublin
IMN,Isle of Man,Douglas
ISR,Israel,Jerusalem
ITA,Italy,Rome
CIV,Ivory Coast,Yamoussoukro
JAM,Jamaica,Kingston
JPN,Japan,Tokyo
JEY,Jersey,Saint Helier
JOR,Jordan,Amman
KAZ,Kazakhstan,Nur-Sultan
KEN,Kenya,Nairobi
KIR,Kiribati,Tarawa
XKX,Kosovo,Pristina
KWT,Kuwait,Kuwait City
KGZ,Kyrgyzstan,Bishkek
LAO,Laos,Vientiane
LVA,Latvia,Riga
LBN,Lebanon,Beirut
LSO,Lesotho,Maseru
LBR,Liberia,Monrovia
LBY,Libya,Tripoli
LIE,Liechtenstein,Vaduz
LTU,Lithuania,Vilnius
LUX,Luxembourg,Luxembourg
MAC,Macao,Macao
MDG,Madagascar,Antananarivo
MWI,Malawi,Lilongwe
MYS,Malaysia,Kuala Lumpur
MDV,Maldives,Male
MLI,Mali,Bamako
MLT,Malta,Valletta
MHL,Marshall Islands,Majuro
MTQ,Martinique,Fort-de-France
MRT,Mauritania,Nouakchott
MUS,Mauritius,Port Louis
MYT,Mayotte,Mamoudzou
MEX,Mexico,Mexico City
FSM,Micronesia,Palikir
MDA,Moldova,Chisinau
MCO,Monaco,Monaco
MNG,Mongolia,Ulaanbaatar
MNE,Montenegro,Podgorica
MSR,Montserrat,Plymouth
MAR,Morocco,Rabat
MOZ,Mozambique,Maputo
MMR,Myanmar,Nay Pyi Taw
NAM,Namibia,Windhoek
NRU,Nauru,Yaren
NPL,Nepal,Kathmandu
NLD,Netherlands,Amsterdam
ANT,Netherlands Antilles,Willemstad
NCL,New Caledonia,Noumea
NZL,New Zealand,Wellington
NIC,Nicaragua,Managua
NER,Niger,Niamey
NGA,Nigeria,Abuja
NIU,Niue,Alofi
NFK,Norfolk Island,Kingston
PRK,North Korea,Pyongyang
MKD,North Macedonia,Skopje
MNP,Northern Mariana Islands,Saipan
NOR,Norway,Oslo
OMN,Oman,Muscat
PAK,Pakistan,Islamabad
PLW,Palau,Melekeok
PSE,Palestine,East Jerusalem
PAN,Panama,Panama City
PNG,Papua New Guinea,Port Moresby
PRY,Paraguay,Asuncion
PER,Peru,Lima
PHL,Philippines,Manila
PCN,Pitcairn Islands,Adamstown
POL,Poland,Warsaw
PRT,Portugal,Lisbon
PRI,Puerto Rico,San Juan
QAT,Qatar,Doha
REU,Reunion,Saint-Denis
ROU,Romania,Bucharest
RUS,Russia,Moscow
RWA,Rwanda,Kigali
BLM,Saint BarthŽlemy,Gustavia
SHN,Saint Helena,Jamestown
LCA,Saint Lucia,Castries
MAF,Saint Martin,Marigot
SPM,Saint Pierre and Miquelon,Saint-Pierre
WSM,Samoa,Apia
SMR,San Marino,San Marino
STP,Sao Tome and Principe,Sao Tome
SAU,Saudi Arabia,Riyadh
SEN,Senegal,Dakar
SRB,Serbia,Belgrade
SCG,Serbia and Montenegro,Belgrade
SYC,Seychelles,Victoria
SLE,Sierra Leone,Freetown
SGP,Singapore,Singapore
SXM,Sint Maarten,Philipsburg
SVK,Slovakia,Bratislava
SVN,Slovenia,Ljubljana
SLB,Solomon Islands,Honiara
SOM,Somalia,Mogadishu
ZAF,South Africa,Pretoria
SGS,South Georgia and South Sandwich Islands,Grytviken
KOR,South Korea,Seoul
SSD,South Sudan,Juba
ESP,Spain,Madrid
LKA,Sri Lanka,Colombo
KNA,St Kitts and Nevis,Basseterre
VCT,St Vincent and Grenadines,Kingstown
SDN,Sudan,Khartoum
SUR,Suriname,Paramaribo
SJM,Svalbard and Jan Mayen,Longyearbyen
SWE,Sweden,Stockholm
CHE,Switzerland,Bern
SYR,Syria,Damascus
TWN,Taiwan,Taipei
TJK,Tajikistan,Dushanbe
TZA,Tanzania,Dodoma
THA,Thailand,Bangkok
TLS,Timor-Leste,Dili
TGO,Togo,Lome
TKL,Tokelau,
TON,Tonga,Nuku'alofa
TTO,Trinidad and Tobago,Port of Spain
TUN,Tunisia,Tunis
TUR,Turkey,Ankara
TKM,Turkmenistan,Ashgabat
TCA,Turks and Caicos Islands,Cockburn Town
TUV,Tuvalu,Funafuti
UMI,U.S. Minor Outlying Islands,
VIR,U.S. Virgin Islands,Charlotte Amalie
UGA,Uganda,Kampala
UKR,Ukraine,Kyiv
ARE,United Arab Emirates,Abu Dhabi
GBR,United Kingdom,London
USA,United States,Washington
URY,Uruguay,Montevideo
UZB,Uzbekistan,Tashkent
VUT,Vanuatu,Port Vila
VAT,Vatican City,Vatican City
VEN,Venezuela,Caracas
VNM,Vietnam,Hanoi
WLF,Wallis and Futuna,Mata Utu
ESH,Western Sahara,El-Aaiun
YEM,Yemen,Sanaa
ZMB,Zambia,Lusaka
ZWE,Zimbabwe,Harare
