index,iso1,iso2,seadistance,capitalport1,capitalport2,roaddistance,short
0,ABW,AFG,16499,,1471.0,,0
1,ABW,AGO,9437,,1184.0,,0
2,ABW,AIA,957,,,,0
3,ABW,ALB,8790,,248.0,,0
4,ABW,AND,7685,,453.0,,0
5,ABW,ANT,907,,,,0
6,ABW,ARE,16749,,229.0,,0
7,ABW,ARG,9918,,1738.0,,0
8,ABW,ARM,10517,,818.0,,0
9,ABW,ASM,11387,,,,0
10,ABW,ATG,930,,,,0
11,ABW,AUS,15563,,638.0,,0
12,ABW,AUT,9921,,468.0,,0
13,ABW,AZE,10517,,1197.0,,0
14,ABW,BDI,15682,,1365.0,,0
15,ABW,BEL,6180,,132.0,,0
16,ABW,BEN,7611,,80.0,,0
17,ABW,BFA,7526,,971.0,,0
18,ABW,BGD,20088,,996.0,,0
19,ABW,BGR,10060,,451.0,,0
20,ABW,BHR,17223,,0.0,,0
21,ABW,BHS,1857,,,,0
22,ABW,BIH,9146,,197.0,,0
23,ABW,BLR,8077,,530.0,,0
24,ABW,BLZ,1925,,78.0,,0
25,ABW,BMU,2430,,0.0,,0
26,ABW,BOL,6333,,2520.0,,0
27,ABW,BRA,7105,,1121.0,,0
28,ABW,BRB,1023,,0.0,,0
29,ABW,BRN,18109,,42.0,,0
30,ABW,BTN,20090,,1072.0,,0
31,ABW,BWA,12048,,947.0,,0
32,ABW,CAF,8243,,1273.0,,0
33,ABW,CAN,4664,,1102.0,,0
34,ABW,CHE,7685,,581.0,,0
35,ABW,CHL,6333,,116.0,,0
36,ABW,CHN,17395,,1449.0,,0
37,ABW,CIV,6955,,251.0,,0
38,ABW,CMR,8243,,283.0,,0
39,ABW,COD,9082,,,,0
40,ABW,COG,8969,,438.0,,0
41,ABW,COK,10283,,,,0
42,ABW,COL,635,,934.0,,0
43,ABW,COM,14929,,,,0
44,ABW,CPV,4481,,,,0
45,ABW,CRI,1367,,142.0,,0
46,ABW,CUB,1641,,,,0
47,ABW,CYM,1306,,0.0,,0
48,ABW,CYP,10959,,43.0,,0
49,ABW,CZE,6413,,693.0,,0
50,ABW,DEU,6413,,391.0,,0
51,ABW,DJI,13941,,297.0,,0
52,ABW,DMA,923,,0.0,,0
53,ABW,DNK,7491,,0.0,,0
54,ABW,DOM,989,,,,0
55,ABW,DZA,7084,,386.0,,0
56,ABW,ECU,2325,,347.0,,0
57,ABW,EGY,10926,,175.0,,0
58,ABW,ERI,13817,,592.0,,0
59,ABW,ESP,6613,,655.0,,0
60,ABW,EST,8103,,23.0,,0
61,ABW,ETH,13816,,864.0,,0
62,ABW,FIN,8126,,0.0,,0
63,ABW,FJI,12547,,,,0
64,ABW,FLK,10030,,0.0,,0
65,ABW,FRA,7685,,757.0,,0
66,ABW,FRO,5667,,0.0,,0
67,ABW,FSM,14621,,,,0
68,ABW,GAB,8429,,14.0,,0
69,ABW,GBR,5940,,95.0,,0
70,ABW,GEO,10796,,436.0,,0
71,ABW,GHA,7378,,14.0,,0
72,ABW,GIB,6612,,,,0
73,ABW,GIN,5674,,0.0,,0
74,ABW,GLP,941,,,,0
75,ABW,GMB,5287,,0.0,,0
76,ABW,GNB,5349,,38.0,,0
77,ABW,GNQ,8411,,,,0
78,ABW,GRC,9416,,28.0,,0
79,ABW,GRD,831,,,,0
80,ABW,GRL,5871,,,,0
81,ABW,GTM,2851,,198.0,,0
82,ABW,GUF,2063,,0.0,,0
83,ABW,GUM,15071,,,,0
84,ABW,GUY,1567,,45.0,,0
85,ABW,HKG,18163,,,,0
86,ABW,HND,1854,,275.0,,0
87,ABW,HRV,9842,,264.0,,0
88,ABW,HTI,1175,,,,0
89,ABW,HUN,9921,,569.0,,0
90,ABW,IDN,19374,,0.0,,0
91,ABW,IND,17234,,1312.0,,0
92,ABW,IRL,6031,,0.0,,0
93,ABW,IRN,16823,,1533.0,,0
94,ABW,IRQ,17771,,640.0,,0
95,ABW,ISL,5961,,52.0,,0
96,ABW,ISR,11151,,53.0,,0
97,ABW,ITA,7980,,14.0,,0
98,ABW,JAM,983,,59.0,,0
99,ABW,JOR,11785,,321.0,,0
100,ABW,JPN,16033,,378.0,,0
101,ABW,KAZ,10517,,3085.0,,0
102,ABW,KEN,15888,,515.0,,0
103,ABW,KGZ,16499,,3209.0,,0
104,ABW,KHM,19247,,139.0,,0
105,ABW,KIR,9284,,,,0
106,ABW,KNA,849,,,,0
107,ABW,KOR,16755,,423.0,,0
108,ABW,KWT,17743,,118.0,,0
109,ABW,LAO,19759,,669.0,,0
110,ABW,LBN,11007,,91.0,,0
111,ABW,LBR,6528,,640.0,,0
112,ABW,LBY,8676,,111.0,,0
113,ABW,LCA,903,,,,0
114,ABW,LIE,9921,,684.0,,0
115,ABW,LKA,18195,,100.0,,0
116,ABW,LSO,12048,,579.0,,0
117,ABW,LTU,8076,,,,0
118,ABW,LUX,6115,,325.0,,0
119,ABW,LVA,7890,,177.0,,0
120,ABW,MAC,18221,,,,0
121,ABW,MAR,6571,,257.0,,0
122,ABW,MCO,7791,,0.0,,0
123,ABW,MDA,10363,,501.0,,0
124,ABW,MDG,15025,,283.0,,0
125,ABW,MDV,17642,,,,0
126,ABW,MEX,3920,,502.0,,0
127,ABW,MHL,12169,,,,0
128,ABW,MKD,9114,,329.0,,0
129,ABW,MLI,5674,,855.0,,0
130,ABW,MLT,8460,,,,0
131,ABW,MMR,20006,,1372.0,,0
132,ABW,MNE,9114,,53.0,,0
