iso1,iso2,seadistance,capitalport1,capitalport2,roaddistance,short
ABW,AFG,16499,,1471,,0
ABW,AGO,9437,,1184,,0
ABW,AIA,957,,,,0
ABW,ALB,8790,,248,,0
ABW,AND,7685,,453,,0
ABW,ANT,907,,,,0
ABW,ARE,16749,,229,,0
ABW,ARG,9918,,1738,,0
ABW,ARM,10517,,818,,0
ABW,ASM,11387,,,,0
ABW,ATG,930,,,,0
ABW,AUS,15563,,638,,0
ABW,AUT,9921,,468,,0
ABW,AZE,10517,,1197,,0
ABW,BDI,15682,,1365,,0
ABW,BEL,6180,,132,,0
ABW,BEN,7611,,80,,0
ABW,BFA,7526,,971,,0
ABW,BGD,20088,,996,,0
ABW,BGR,10060,,451,,0
ABW,BHR,17223,,0,,0
ABW,BHS,1857,,,,0
ABW,BIH,9146,,197,,0
ABW,BLR,8077,,530,,0
ABW,BLZ,1925,,78,,0
ABW,BMU,2430,,0,,0
ABW,BOL,6333,,2520,,0
ABW,BRA,7105,,1121,,0
ABW,BRB,1023,,0,,0
ABW,BRN,18109,,42,,0
ABW,BTN,20090,,1072,,0
ABW,BWA,12048,,947,,0
ABW,CAF,8243,,1273,,0
ABW,CAN,4664,,1102,,0
ABW,CHE,7685,,581,,0
ABW,CHL,6333,,116,,0
ABW,CHN,17395,,1449,,0
ABW,CIV,6955,,251,,0
ABW,CMR,8243,,283,,0
ABW,COD,9082,,,,0
ABW,COG,8969,,438,,0
ABW,COK,10283,,,,0
ABW,COL,635,,934,,0
ABW,COM,14929,,,,0
ABW,CPV,4481,,,,0
ABW,CRI,1367,,142,,0
ABW,CUB,1641,,,,0
ABW,CYM,1306,,0,,0
ABW,CYP,10959,,43,,0
ABW,CZE,6413,,693,,0
ABW,DEU,6413,,391,,0
ABW,DJI,13941,,297,,0
ABW,DMA,923,,0,,0
ABW,DNK,7491,,0,,0
ABW,DOM,989,,,,0
ABW,DZA,7084,,386,,0
ABW,ECU,2325,,347,,0
ABW,EGY,10926,,175,,0
ABW,ERI,13817,,592,,0
ABW,ESP,6613,,655,,0
ABW,EST,8103,,23,,0
ABW,ETH,13816,,864,,0
ABW,FIN,8126,,0,,0
ABW,FJI,12547,,,,0
ABW,FLK,10030,,0,,0
ABW,FRA,7685,,757,,0
ABW,FRO,5667,,0,,0
ABW,FSM,14621,,,,0
ABW,GAB,8429,,14,,0
ABW,GBR,5940,,95,,0
ABW,GEO,10796,,436,,0
ABW,GHA,7378,,14,,0
ABW,GIB,6612,,,,0
ABW,GIN,5674,,0,,0
ABW,GLP,941,,,,0
ABW,GMB,5287,,0,,0
ABW,GNB,5349,,38,,0
ABW,GNQ,8411,,,,0
ABW,GRC,9416,,28,,0
ABW,GRD,831,,,,0
ABW,GRL,5871,,,,0
ABW,GTM,2851,,198,,0
ABW,GUF,2063,,0,,0
ABW,GUM,15071,,,,0
ABW,GUY,1567,,45,,0
ABW,HKG,18163,,,,0
ABW,HND,1854,,275,,0
ABW,HRV,9842,,264,,0
ABW,HTI,1175,,,,0
ABW,HUN,9921,,569,,0
ABW,IDN,19374,,0,,0
ABW,IND,17234,,1312,,0
ABW,IRL,6031,,0,,0
ABW,IRN,16823,,1533,,0
ABW,IRQ,17771,,640,,0
ABW,ISL,5961,,52,,0
ABW,ISR,11151,,53,,0
ABW,ITA,7980,,14,,0
ABW,JAM,983,,59,,0
ABW,JOR,11785,,321,,0
ABW,JPN,16033,,378,,0
ABW,KAZ,10517,,3085,,0
ABW,KEN,15888,,515,,0
ABW,KGZ,16499,,3209,,0
ABW,KHM,19247,,139,,0
ABW,KIR,9284,,,,0
ABW,KNA,849,,,,0
ABW,KOR,16755,,423,,0
ABW,KWT,17743,,118,,0
ABW,LAO,19759,,669,,0
ABW,LBN,11007,,91,,0
ABW,LBR,6528,,640,,0
ABW,LBY,8676,,111,,0
ABW,LCA,903,,,,0
ABW,LIE,9921,,684,,0
ABW,LKA,18195,,100,,0
ABW,LSO,12048,,579,,0
ABW,LTU,8076,,,,0
ABW,LUX,6115,,325,,0
ABW,LVA,7890,,177,,0
ABW,MAC,18221,,,,0
ABW,MAR,6571,,257,,0
ABW,MCO,7791,,0,,0
ABW,MDA,10363,,501,,0
ABW,MDG,15025,,283,,0
ABW,MDV,17642,,,,0
ABW,MEX,3920,,502,,0
ABW,MHL,12169,,,,0
ABW,MKD,9114,,329,,0
ABW,MLI,5674,,855,,0
ABW,MLT,8460,,,,0
ABW,MMR,20006,,1372,,0
ABW,MNE,9114,,53,,0
ABW,MNG,17395,,2849,,0
ABW,MNP,14982,,,,0
ABW,MOZ,12530,,100,,0
ABW,MRT,5459,,503,,0
ABW,MSR,877,,,,0
ABW,MTQ,925,,0,,0
ABW,MUS,15423,,0,,0
ABW,MWI,15682,,1680,,0
ABW,MYS,19721,,65,,0
ABW,MYT,14934,,,,0
ABW,NAM,9740,,334,,0
ABW,NCL,13749,,142,,0
ABW,NER,7611,,1016,,0
ABW,NFK,13596,,,,0
ABW,NGA,7745,,667,,0
ABW,NIC,1367,,486,,0
ABW,NIU,11426,,,,0
ABW,NLD,6114,,167,,0
ABW,NOR,7098,,54,,0
ABW,NPL,20090,,1662,,0
ABW,NRU,12974,,,,0
ABW,NZL,12879,,597,,0
ABW,OMN,15096,,1053,,0
ABW,PAK,16498,,1449,,0
ABW,PAN,1082,,56,,0
ABW,PER,2966,,974,,0
ABW,PHL,17807,,230,,0
ABW,PLW,15843,,,,0
ABW,PNG,15523,,0,,0
ABW,POL,7972,,446,,0
ABW,PRI,861,,,,0
ABW,PRK,16538,,529,,0
ABW,PRT,5652,,2,,0
ABW,PRY,8782,,1350,,0
ABW,PSE,11162,,,,0
ABW,PYF,9336,,,,0
ABW,QAT,17127,,29,,0
ABW,REU,15137,,,,0
ABW,ROU,10363,,203,,0
ABW,RUS,10516,,1512,,0
ABW,RWA,15682,,1331,,0
ABW,SAU,12590,,973,,0
ABW,SDN,12391,,1139,,0
ABW,SEN,5244,,0,,0
ABW,SGP,19354,,0,,0
ABW,SHN,8879,,,,0
ABW,SLB,14487,,,,0
ABW,SLE,5829,,183,,0
ABW,SLV,2617,,44,,0
ABW,SMR,7980,,359,,0
ABW,SOM,15714,,550,,0
